clipe,description,movie,file_path,genres,id
1002_Harry_Potter_and_the_Half-Blood_Prince_00.00.10.770-00.00.14.739,"Lightning flashes behind it, as it moves forward.",1002_Harry_Potter_and_the_Half-Blood_Prince,1002_Harry_Potter_and_the_Half-Blood_Prince/1002_Harry_Potter_and_the_Half-Blood_Prince_00.00.10.770-00.00.14.739/1002_Harry_Potter_and_the_Half-Blood_Prince_00.00.10.770-00.00.14.739_ViT-B_32.npy,"Action, Adventure, Family, Fantasy, Mystery",10
1002_Harry_Potter_and_the_Half-Blood_Prince_00.00.26.290-00.00.29.248,A human eye.,1002_Harry_Potter_and_the_Half-Blood_Prince,1002_Harry_Potter_and_the_Half-Blood_Prince/1002_Harry_Potter_and_the_Half-Blood_Prince_00.00.26.290-00.00.29.248/1002_Harry_Potter_and_the_Half-Blood_Prince_00.00.26.290-00.00.29.248_ViT-B_32.npy,"Action, Adventure, Family, Fantasy, Mystery",10
1002_Harry_Potter_and_the_Half-Blood_Prince_00.00.29.934-00.00.31.247,Someone's bloodied face.,1002_Harry_Potter_and_the_Half-Blood_Prince,1002_Harry_Potter_and_the_Half-Blood_Prince/1002_Harry_Potter_and_the_Half-Blood_Prince_00.00.29.934-00.00.31.247/1002_Harry_Potter_and_the_Half-Blood_Prince_00.00.29.934-00.00.31.247_ViT-B_32.npy,"Action, Adventure, Family, Fantasy, Mystery",10
1002_Harry_Potter_and_the_Half-Blood_Prince_00.00.33.030-00.00.38.497,"A host of press photographers flash their cameras repeatedly at the dazed looking Someone and a tall, white-haired old man with a long white beard, Someone.",1002_Harry_Potter_and_the_Half-Blood_Prince,1002_Harry_Potter_and_the_Half-Blood_Prince/1002_Harry_Potter_and_the_Half-Blood_Prince_00.00.33.030-00.00.38.497/1002_Harry_Potter_and_the_Half-Blood_Prince_00.00.33.030-00.00.38.497_ViT-B_32.npy,"Action, Adventure, Family, Fantasy, Mystery",10
1002_Harry_Potter_and_the_Half-Blood_Prince_00.00.39.155-00.00.44.699,"He puts his left arm protectively around Someone's shoulder, and steers him through the crowd.",1002_Harry_Potter_and_the_Half-Blood_Prince,1002_Harry_Potter_and_the_Half-Blood_Prince/1002_Harry_Potter_and_the_Half-Blood_Prince_00.00.39.155-00.00.44.699/1002_Harry_Potter_and_the_Half-Blood_Prince_00.00.39.155-00.00.44.699_ViT-B_32.npy,"Action, Adventure, Family, Fantasy, Mystery",10
1002_Harry_Potter_and_the_Half-Blood_Prince_00.00.44.478-00.00.46.998,Someone wears two rings on his left hand.,1002_Harry_Potter_and_the_Half-Blood_Prince,1002_Harry_Potter_and_the_Half-Blood_Prince/1002_Harry_Potter_and_the_Half-Blood_Prince_00.00.44.478-00.00.46.998/1002_Harry_Potter_and_the_Half-Blood_Prince_00.00.44.478-00.00.46.998_ViT-B_32.npy,"Action, Adventure, Family, Fantasy, Mystery",10
1002_Harry_Potter_and_the_Half-Blood_Prince_00.01.12.030-00.01.18.433,"Reflected in the glass of a tall office building, the brooding storm clouds settle over the City of London.",1002_Harry_Potter_and_the_Half-Blood_Prince,1002_Harry_Potter_and_the_Half-Blood_Prince/1002_Harry_Potter_and_the_Half-Blood_Prince_00.01.12.030-00.01.18.433/1002_Harry_Potter_and_the_Half-Blood_Prince_00.01.12.030-00.01.18.433_ViT-B_32.npy,"Action, Adventure, Family, Fantasy, Mystery",10
1002_Harry_Potter_and_the_Half-Blood_Prince_00.01.19.620-00.01.31.238,"The staff on one of the upper floors gather at the windows, and look out in alarm, as the menacing clouds drift ever closer.",1002_Harry_Potter_and_the_Half-Blood_Prince,1002_Harry_Potter_and_the_Half-Blood_Prince/1002_Harry_Potter_and_the_Half-Blood_Prince_00.01.19.620-00.01.31.238/1002_Harry_Potter_and_the_Half-Blood_Prince_00.01.19.620-00.01.31.238_ViT-B_32.npy,"Action, Adventure, Family, Fantasy, Mystery",10
1002_Harry_Potter_and_the_Half-Blood_Prince_00.01.35.535-00.01.38.453,Lightening flashes behind the clouds.,1002_Harry_Potter_and_the_Half-Blood_Prince,1002_Harry_Potter_and_the_Half-Blood_Prince/1002_Harry_Potter_and_the_Half-Blood_Prince_00.01.35.535-00.01.38.453/1002_Harry_Potter_and_the_Half-Blood_Prince_00.01.35.535-00.01.38.453_ViT-B_32.npy,"Action, Adventure, Family, Fantasy, Mystery",10
1002_Harry_Potter_and_the_Half-Blood_Prince_00.01.40.568-00.01.47.611,"They billow forward in the shape of a skull, from which three dark trails of smoke appear.",1002_Harry_Potter_and_the_Half-Blood_Prince,1002_Harry_Potter_and_the_Half-Blood_Prince/1002_Harry_Potter_and_the_Half-Blood_Prince_00.01.40.568-00.01.47.611/1002_Harry_Potter_and_the_Half-Blood_Prince_00.01.40.568-00.01.47.611_ViT-B_32.npy,"Action, Adventure, Family, Fantasy, Mystery",10
