clipe,description,movie,file_path,genres,id
0002_As_Good_As_It_Gets_00.00.43.459-00.00.43.636,And now she turns and faces the hallway.,0002_As_Good_As_It_Gets,0002_As_Good_As_It_Gets/0002_As_Good_As_It_Gets_00.00.43.459-00.00.43.636/0002_As_Good_As_It_Gets_00.00.43.459-00.00.43.636_ViT-B_32.npy,"Comedy, Drama, Romance",00
0002_As_Good_As_It_Gets_00.00.43.636-00.00.43.769,her sweetness dissolves in a flash.,0002_As_Good_As_It_Gets,0002_As_Good_As_It_Gets/0002_As_Good_As_It_Gets_00.00.43.636-00.00.43.769/0002_As_Good_As_It_Gets_00.00.43.636-00.00.43.769_ViT-B_32.npy,"Comedy, Drama, Romance",00
0002_As_Good_As_It_Gets_00.00.43.769-00.00.44.080,replaced by repulsion and that quickly she has reversed herself and re-entered her apartment.,0002_As_Good_As_It_Gets,0002_As_Good_As_It_Gets/0002_As_Good_As_It_Gets_00.00.43.769-00.00.44.080/0002_As_Good_As_It_Gets_00.00.43.769-00.00.44.080_ViT-B_32.npy,"Comedy, Drama, Romance",00
0002_As_Good_As_It_Gets_00.00.44.080-00.00.45.569,closing the door as we consider her vacated.,0002_As_Good_As_It_Gets,0002_As_Good_As_It_Gets/0002_As_Good_As_It_Gets_00.00.44.080-00.00.45.569/0002_As_Good_As_It_Gets_00.00.44.080-00.00.45.569_ViT-B_32.npy,"Comedy, Drama, Romance",00
0002_As_Good_As_It_Gets_00.00.46.874-00.00.59.356,Right now all his considerable talent and strength is totally focused on seducing a tiny dog into the elevator door he holds open.,0002_As_Good_As_It_Gets,0002_As_Good_As_It_Gets/0002_As_Good_As_It_Gets_00.00.46.874-00.00.59.356/0002_As_Good_As_It_Gets_00.00.46.874-00.00.59.356_ViT-B_32.npy,"Comedy, Drama, Romance",00
0002_As_Good_As_It_Gets_00.00.59.356-00.01.00.715,Sniffing at a particular spot on the hall carpeting.,0002_As_Good_As_It_Gets,0002_As_Good_As_It_Gets/0002_As_Good_As_It_Gets_00.00.59.356-00.01.00.715/0002_As_Good_As_It_Gets_00.00.59.356-00.01.00.715_ViT-B_32.npy,"Comedy, Drama, Romance",00
0002_As_Good_As_It_Gets_00.01.09.359-00.01.11.284,Someone lets the elevator door close and advances on the mutt who has ignores him.,0002_As_Good_As_It_Gets,0002_As_Good_As_It_Gets/0002_As_Good_As_It_Gets_00.01.09.359-00.01.11.284/0002_As_Good_As_It_Gets_00.01.09.359-00.01.11.284_ViT-B_32.npy,"Comedy, Drama, Romance",00
0002_As_Good_As_It_Gets_00.01.21.795-00.01.24.159,The dog lifts his leg at the precise moment Someone lunges and picks him up with a decisive heft -- so that dog urine squirts the hall wall for a second or two.,0002_As_Good_As_It_Gets,0002_As_Good_As_It_Gets/0002_As_Good_As_It_Gets_00.01.21.795-00.01.24.159/0002_As_Good_As_It_Gets_00.01.21.795-00.01.24.159_ViT-B_32.npy,"Comedy, Drama, Romance",00
0002_As_Good_As_It_Gets_00.01.24.159-00.01.25.124,The DOG sensing a kindred spirit starts to GROWL and BARK.,0002_As_Good_As_It_Gets,0002_As_Good_As_It_Gets/0002_As_Good_As_It_Gets_00.01.24.159-00.01.25.124/0002_As_Good_As_It_Gets_00.01.24.159-00.01.25.124_ViT-B_32.npy,"Comedy, Drama, Romance",00
0002_As_Good_As_It_Gets_00.01.25.124-00.01.39.871,"The dog takes a snap at Someone, but the man is much meaner and quicker than the dog -- he holds his snout shut with his hand and reaches for the door of the garbage chute.",0002_As_Good_As_It_Gets,0002_As_Good_As_It_Gets/0002_As_Good_As_It_Gets_00.01.25.124-00.01.39.871/0002_As_Good_As_It_Gets_00.01.25.124-00.01.39.871_ViT-B_32.npy,"Comedy, Drama, Romance",00
